"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Silvano G.; Ribeiro V.; Greati V.; Bezerra A.; Silva I.; Endo P.T.; Lynn T.","Silvano, Gilles (57193726611); Ribeiro, Vinícius (57189895176); Greati, Vitor (57189887580); Bezerra, Aguinaldo (57209738451); Silva, Ivanovitch (36537969500); Endo, Patricia Takako (36160299900); Lynn, Theo (25825321500)","57193726611; 57189895176; 57189887580; 57209738451; 36537969500; 36160299900; 25825321500","Synthetic image generation for training deep learning-based automated license plate recognition systems on the Brazilian Mercosur standard","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092193108&doi=10.1007%2fs10617-020-09241-7&partnerID=40&md5=d12acd4051808a1ca686c536019caed6","2-s2.0-85092193108"
"Gonçalves L.; Kallmann M.; Thalmann D.","Gonçalves, Luiz (58069927800); Kallmann, Marcelo (57203497864); Thalmann, Daniel (7005885082)","58069927800; 57203497864; 7005885082","Defining behaviors for autonomous agents based on local perception and smart objects","2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038437942&doi=10.1016%2fS0097-8493%2802%2900177-2&partnerID=40&md5=39057f698f6349e1481ec396b2f16cc6","2-s2.0-0038437942"
"Guimaraes C.J.B.V.; Torquato M.F.; Fernandes M.A.C.","Guimaraes, Caio J. B. V. (57219227412); Torquato, Matheus F. (57195314921); Fernandes, MacElo A. C. (7202947679)","57219227412; 57195314921; 7202947679","Optimization of MLP Neural Networks in 8-bit Microcontrollers using Program Memory","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116404536&doi=10.1109%2fIJCNN52387.2021.9533594&partnerID=40&md5=112a9965f56107c9ecc8aefad85abfe5","2-s2.0-85116404536"
"Bustince H.; Barrenechea E.; Pagola M.; Fernandez J.; Xu Z.; Bedregal B.; Montero J.; Hagras H.; Herrera F.; De Baets B.","Bustince, Humberto (55034746100); Barrenechea, Edurne (23090078700); Pagola, Miguel (6602952001); Fernandez, Javier (57198957963); Xu, Zeshui (55502698400); Bedregal, Benjamin (15520790700); Montero, Javier (7103015773); Hagras, Hani (6701586037); Herrera, Francisco (7102347190); De Baets, Bernard (55664779600)","55034746100; 23090078700; 6602952001; 57198957963; 55502698400; 15520790700; 7103015773; 6701586037; 7102347190; 55664779600","A historical account of types of fuzzy sets and their relationships","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962091537&doi=10.1109%2fTFUZZ.2015.2451692&partnerID=40&md5=9743b012d28532b63b6621869d3b514b","2-s2.0-84962091537"
"Medeiros J.P.S.; Neto J.B.B.; Dantas Queiroz G.S.; Motta Pires P.S.","Medeiros, João P. Souza (57224711106); Neto, João B. Borges (57193215800); Dantas Queiroz, Gutto S. (57204094579); Motta Pires, Paulo S. (7801593556)","57224711106; 57193215800; 57204094579; 7801593556","Intelligent remote operating system detection","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054457669&doi=10.1201%2fb17333&partnerID=40&md5=1314c543689776c0c0d172b16325baa4","2-s2.0-85054457669"
"Silva M.R.; Souza E.S.; Alsina P.J.; Leite D.L.; Morais M.R.; Pereira D.S.; Nascimento L.B.P.; Medeiros A.A.D.; Cunha Junior F.H.; Nogueira M.B.; Albuquerque G.L.A.; Dantas J.B.D.","Silva, Maurício R. (57202496125); Souza, Elitelma S. (57202501288); Alsina, Pablo J. (6603627735); Leite, Deyvid L. (57211641026); Morais, Mateus R. (57211646270); Pereira, Diego S. (57202609106); Nascimento, Luís B. P. (57202607438); Medeiros, Adelardo A. D. (7005447974); Cunha Junior, Francisco H. (57202500976); Nogueira, Marcelo B. (50661492500); Albuquerque, Glauberto L. A. (55191031900); Dantas, João B. D. (55926512000)","57202496125; 57202501288; 6603627735; 57211641026; 57211646270; 57202609106; 57202607438; 7005447974; 57202500976; 50661492500; 55191031900; 55926512000","Performance evaluation of multi-UAV network applied to scanning rocket impact area","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074695259&doi=10.3390%2fs19224895&partnerID=40&md5=a329fb6c3b1787e2c9bea279b9bfa8e9","2-s2.0-85074695259"
"Santos F.; Immich R.; Madeira E.R.M.","Santos, Fillipe (57217088649); Immich, Roger (23990618900); Madeira, Edmundo R.M. (8840081100)","57217088649; 23990618900; 8840081100","Multimedia services placement algorithm for cloud–fog hierarchical environments","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129727384&doi=10.1016%2fj.comcom.2022.04.009&partnerID=40&md5=fe6e377c22ced33698854f9c27069c4b","2-s2.0-85129727384"
"Araujo A.; Cacho N.; Bezerra L.; Vieira C.; Borges J.","Araujo, Adelson (57205856076); Cacho, Nelio (17433450200); Bezerra, Leonardo (37078903900); Vieira, Carlos (57207775925); Borges, Julio (57189376958)","57205856076; 17433450200; 37078903900; 57207775925; 57189376958","Towards a Crime Hotspot Detection Framework for Patrol Planning","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062565146&doi=10.1109%2fHPCC%2fSmartCity%2fDSS.2018.00211&partnerID=40&md5=50e0bf7aa7e3fa9201b62d55bb33be82","2-s2.0-85062565146"
"Santos R.D.V.D., Júnior; Coelho J.V.V.; Cacho N.A.A.; de Araújo D.S.A.","Santos, Ramiro de Vasconcelos dos (57314796300); Coelho, João Vitor Venceslau (57169721900); Cacho, Nelio Alessandro Azevedo (17433450200); de Araújo, Daniel Sabino Amorim (55103744400)","57314796300; 57169721900; 17433450200; 55103744400","A criminal macrocause classification model: An enhancement for violent crime analysis considering an unbalanced dataset","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173048339&doi=10.1016%2fj.eswa.2023.121702&partnerID=40&md5=b83d51febfb073692db90c1269fc6a18","2-s2.0-85173048339"
"Dantas Silva F.S.; Neto E.P.; Oliveira H.; Rosário D.; Cerqueira E.; Both C.; Zeadally S.; Neto A.V.","Dantas Silva, Felipe S. (56393770300); Neto, Emidio P. (57194408497); Oliveira, Helder (56542795100); Rosário, Denis (54891918700); Cerqueira, Eduardo (23134706000); Both, Cristiano (24823769500); Zeadally, Sherali (7003472739); Neto, Augusto Venancio (35105652600)","56393770300; 57194408497; 56542795100; 54891918700; 23134706000; 24823769500; 7003472739; 35105652600","A survey on long-range wide-area network technology optimizations","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105873464&doi=10.1109%2fACCESS.2021.3079095&partnerID=40&md5=dac48f0eea3fac16b44370392d5151f9","2-s2.0-85105873464"
